	direction	jitter	stop_trial
0	0	0.75	0
1	0	0.75	1
2	0	2.25	0
3	1	3.0	1
4	0	1.5	0
5	1	3.0	0
6	0	0.75	0
7	1	2.25	1
8	1	0.75	0
9	0	1.5	0
10	1	1.5	0
11	0	1.5	0
12	1	0.75	0
13	1	3.0	0
14	0	1.5	0
15	0	1.5	1
16	1	3.0	0
17	0	0.75	0
18	0	2.25	0
19	0	2.25	1
20	0	0.75	0
21	1	0.75	1
22	0	2.25	0
23	0	3.0	1
24	1	3.0	1
25	1	0.75	0
26	1	1.5	0
27	1	2.25	0
28	1	1.5	0
29	1	2.25	0
30	1	2.25	0
31	0	3.0	1
32	0	2.25	0
33	0	1.5	0
34	0	3.0	0
35	0	1.5	0
36	0	3.0	1
37	0	1.5	0
38	1	1.5	0
39	1	2.25	0
40	1	2.25	1
41	1	3.0	0
42	0	3.0	0
43	1	3.0	0
44	0	2.25	1
45	0	1.5	0
46	0	0.75	0
47	0	3.0	0
48	1	2.25	0
49	0	3.0	0
50	0	0.75	1
51	1	1.5	0
52	1	0.75	0
53	0	1.5	0
54	1	1.5	1
55	1	3.0	0
56	0	2.25	1
57	0	0.75	0
58	1	1.5	1
59	0	3.0	1
60	1	0.75	0
61	0	1.5	0
62	0	3.0	0
63	0	1.5	1
64	1	2.25	0
65	0	3.0	0
66	1	1.5	0
67	1	3.0	0
68	0	3.0	1
69	0	0.75	0
70	1	0.75	0
71	1	1.5	1
72	0	1.5	0
73	0	0.75	0
74	0	1.5	0
75	1	0.75	1
76	1	0.75	1
77	0	3.0	1
78	1	2.25	0
79	0	3.0	0
80	1	3.0	0
81	0	2.25	0
82	1	0.75	0
83	1	3.0	0
84	0	2.25	0
85	0	1.5	0
86	1	0.75	0
87	1	2.25	0
88	1	3.0	0
89	1	1.5	0
90	0	2.25	0
91	0	3.0	1
92	1	0.75	0
93	1	0.75	0
94	1	1.5	0
95	1	2.25	0
96	1	0.75	1
97	0	0.75	0
98	1	2.25	0
99	1	3.0	0
100	0	2.25	0
101	0	0.75	1
102	1	0.75	0
103	1	2.25	0
104	0	1.5	1
105	1	0.75	0
106	0	3.0	0
107	1	1.5	1
108	1	2.25	0
109	0	0.75	0
