trial_ID	direction	stop_trial	jitter	block
0	0	0	3.0	1
1	0	0	1.5	1
2	1	0	3.0	1
3	0	0	2.25	1
4	1	1	3.0	1
5	0	0	0.75	1
6	0	1	2.25	1
7	1	1	0.75	1
8	0	0	0.75	1
9	1	0	3.0	1
10	1	1	2.25	1
11	1	0	2.25	1
12	0	1	2.25	1
13	1	0	2.25	1
14	0	0	2.25	1
15	1	0	2.25	1
16	0	0	3.0	1
17	1	0	0.75	1
18	0	0	1.5	1
19	1	1	2.25	1
20	1	0	0.75	1
21	0	0	0.75	1
22	0	0	1.5	1
23	0	0	0.75	1
24	0	1	2.25	1
25	0	0	0.75	1
26	1	0	2.25	1
27	0	0	1.5	1
28	1	0	2.25	1
29	0	0	0.75	1
30	1	1	1.5	1
31	0	0	1.5	1
32	0	1	2.25	1
33	1	1	3.0	1
34	1	0	2.25	1
35	1	0	2.25	1
36	0	0	0.75	1
37	0	0	1.5	1
38	1	1	0.75	1
39	1	0	0.75	1
40	0	0	3.0	1
41	0	0	2.25	1
42	1	0	3.0	1
43	1	0	3.0	1
44	1	0	0.75	1
45	1	0	1.5	1
46	1	1	3.0	1
47	1	0	0.75	1
48	1	0	2.25	1
49	0	0	0.75	1
50	0	0	1.5	1
51	1	0	1.5	1
52	0	0	0.75	1
53	0	0	1.5	1
54	0	0	3.0	1
55	1	0	2.25	1
56	0	1	2.25	1
57	1	0	2.25	1
58	1	1	1.5	1
59	1	0	0.75	1
60	0	1	1.5	1
61	0	1	2.25	1
62	0	1	2.25	1
63	0	1	0.75	1
64	0	0	0.75	1
65	1	0	0.75	1
66	0	0	0.75	1
67	0	0	1.5	1
68	0	0	0.75	1
69	1	0	2.25	1
70	0	0	1.5	1
71	1	0	3.0	1
72	0	1	2.25	1
73	0	0	2.25	1
74	0	0	0.75	1
75	0	1	3.0	1
76	0	0	1.5	1
77	1	0	0.75	1
78	0	0	2.25	1
79	0	0	0.75	1
80	1	0	0.75	1
81	1	0	0.75	1
82	1	1	3.0	1
83	1	0	0.75	1
84	0	1	0.75	1
85	1	0	0.75	1
86	1	1	0.75	1
87	0	1	3.0	1
88	0	0	2.25	1
89	0	0	1.5	1
90	0	0	0.75	1
91	0	0	1.5	1
92	0	0	3.0	1
93	1	1	1.5	1
94	0	0	3.0	1
95	1	0	1.5	1
96	1	1	1.5	1
97	1	0	1.5	1
98	1	0	3.0	1
99	1	0	1.5	1
100	1	0	2.25	1
101	0	0	1.5	1
102	1	0	0.75	1
103	1	1	2.25	1
104	0	1	1.5	1
105	1	0	1.5	1
106	1	0	0.75	1
107	0	0	2.25	1
108	1	1	1.5	1
109	0	0	1.5	1
110	1	0	3.0	1
111	1	0	1.5	1
112	0	0	0.75	1
113	1	0	3.0	1
114	1	0	3.0	1
115	1	0	0.75	1
116	1	0	0.75	1
117	0	0	0.75	1
118	0	1	1.5	1
119	1	0	3.0	1
0	1	0	2.25	2
1	1	0	1.5	2
2	1	0	3.0	2
3	1	1	0.75	2
4	1	0	2.25	2
5	1	0	0.75	2
6	0	1	2.25	2
7	1	0	3.0	2
8	1	0	0.75	2
9	1	0	0.75	2
10	1	1	0.75	2
11	0	0	2.25	2
12	0	0	2.25	2
13	0	0	0.75	2
14	1	0	3.0	2
15	0	1	2.25	2
16	0	0	2.25	2
17	0	1	3.0	2
18	1	0	3.0	2
19	0	0	0.75	2
20	0	0	0.75	2
21	1	0	3.0	2
22	1	0	0.75	2
23	0	0	3.0	2
24	1	0	0.75	2
25	0	0	1.5	2
26	0	1	3.0	2
27	0	0	2.25	2
28	1	0	0.75	2
29	1	0	0.75	2
30	0	0	0.75	2
31	0	0	2.25	2
32	0	1	1.5	2
33	1	1	2.25	2
34	0	0	1.5	2
35	1	0	3.0	2
36	0	0	2.25	2
37	0	0	3.0	2
38	1	0	2.25	2
39	0	0	0.75	2
40	1	1	0.75	2
41	0	1	1.5	2
42	0	0	1.5	2
43	0	1	3.0	2
44	0	0	2.25	2
45	1	1	0.75	2
46	0	0	2.25	2
