trial_ID	direction	stop_trial	jitter	block
0	1	1	1.5	1
1	0	0	1.5	1
2	0	0	1.0	1
3	0	0	1.5	1
4	1	0	0.5	1
5	0	1	1.5	1
6	1	1	0.5	1
7	1	0	1.5	1
8	0	0	1.5	1
9	1	0	1.0	1
10	1	0	1.5	1
11	0	1	1.5	1
12	1	0	2.0	1
13	0	0	0.5	1
14	1	1	0.5	1
15	1	0	1.5	1
16	1	0	2.0	1
17	1	0	0.5	1
18	0	1	1.5	1
19	0	1	1.5	1
20	1	0	0.5	1
21	0	1	0.5	1
22	0	0	0.5	1
23	0	0	1.0	1
24	0	0	2.0	1
25	0	0	1.5	1
26	0	0	1.0	1
27	0	0	0.5	1
28	1	1	1.5	1
29	1	0	0.5	1
30	0	0	0.5	1
31	0	1	0.5	1
32	1	0	2.0	1
33	0	1	0.5	1
34	1	0	1.5	1
35	1	0	0.5	1
36	1	1	1.0	1
37	0	0	1.5	1
38	1	1	0.5	1
39	0	0	1.0	1
40	1	0	1.0	1
41	1	1	0.5	1
42	0	0	0.5	1
43	1	0	0.5	1
44	0	0	0.5	1
45	0	1	0.5	1
46	0	0	1.0	1
47	0	0	1.5	1
48	0	0	1.5	1
49	1	0	2.0	1
50	1	0	2.0	1
51	1	0	1.0	1
52	1	0	0.5	1
53	0	1	2.0	1
54	1	0	1.5	1
55	0	0	0.5	1
56	1	0	2.0	1
57	0	0	2.0	1
58	0	1	1.5	1
59	0	0	0.5	1
60	1	0	0.5	1
61	1	0	0.5	1
62	0	0	1.5	1
63	0	0	1.5	1
64	1	0	1.5	1
65	1	0	0.5	1
66	0	0	1.5	1
67	1	0	1.0	1
68	1	0	1.0	1
69	1	0	1.5	1
70	0	0	0.5	1
71	1	0	1.5	1
72	0	0	1.5	1
73	1	0	2.0	1
74	0	0	0.5	1
75	0	0	1.5	1
76	1	0	0.5	1
77	1	0	2.0	1
78	1	0	0.5	1
79	0	0	2.0	1
80	0	0	1.0	1
81	0	0	1.5	1
82	1	1	2.0	1
83	0	0	0.5	1
84	0	0	0.5	1
85	0	1	0.5	1
86	0	1	1.0	1
87	1	0	2.0	1
88	1	0	0.5	1
89	1	0	1.5	1
90	0	0	1.0	1
91	1	1	1.5	1
92	1	0	0.5	1
93	1	1	0.5	1
94	0	1	0.5	1
95	1	0	1.0	1
96	1	1	1.0	1
97	0	1	1.5	1
98	0	1	0.5	1
99	0	0	1.0	1
100	0	0	1.0	1
101	0	0	0.5	1
102	0	0	1.5	1
103	0	0	0.5	1
104	1	0	0.5	1
105	0	0	1.0	1
106	0	0	0.5	1
107	0	0	1.5	1
108	1	0	1.0	1
109	1	1	2.0	1
110	1	0	1.0	1
111	1	1	1.5	1
112	1	1	1.5	1
113	0	1	1.5	1
114	0	0	2.0	1
115	0	0	1.0	1
116	1	0	2.0	1
117	0	0	1.0	1
118	1	0	1.5	1
119	1	0	1.0	1
120	0	0	1.5	1
121	1	0	2.0	1
122	1	1	0.5	1
123	0	0	1.0	1
124	1	0	2.0	1
125	1	0	2.0	1
126	1	1	1.5	1
127	1	0	2.0	1
0	0	1	1.0	2
1	1	0	2.0	2
2	0	0	0.5	2
3	1	0	0.5	2
4	0	0	2.0	2
5	1	0	1.0	2
6	1	0	2.0	2
7	0	1	1.0	2
8	1	0	1.5	2
9	0	0	1.0	2
10	0	1	0.5	2
11	0	0	1.0	2
12	1	0	2.0	2
13	1	1	0.5	2
14	1	0	1.5	2
15	1	0	1.5	2
16	1	0	1.0	2
17	0	0	0.5	2
18	0	0	0.5	2
19	0	0	1.0	2
20	1	0	0.5	2
21	1	0	0.5	2
22	0	0	1.0	2
23	0	0	0.5	2
24	0	0	1.0	2
25	0	0	1.0	2
26	0	0	0.5	2
27	1	1	1.0	2
28	1	0	2.0	2
29	1	0	1.0	2
30	1	1	1.5	2
31	1	0	2.0	2
32	0	0	1.5	2
33	1	0	2.0	2
34	0	1	1.5	2
35	0	1	0.5	2
36	1	0	1.0	2
37	1	0	0.5	2
38	1	0	0.5	2
39	0	0	2.0	2
40	1	1	1.0	2
41	1	0	1.0	2
42	1	1	0.5	2
43	1	1	1.5	2
44	1	1	1.0	2
45	1	0	2.0	2
46	0	0	0.5	2
47	1	1	1.5	2
48	1	0	1.5	2
49	1	0	1.5	2
50	1	0	1.0	2
51	1	0	1.5	2
52	0	0	1.0	2
53	0	1	2.0	2
54	0	0	2.0	2
55	1	0	0.5	2
56	1	0	0.5	2
57	0	1	0.5	2
58	1	0	0.5	2
59	0	0	1.5	2
60	0	0	1.0	2
61	1	1	1.5	2
62	0	0	2.0	2
63	0	0	2.0	2
64	0	0	2.0	2
65	0	0	2.0	2
66	1	0	2.0	2
67	0	0	1.0	2
68	0	0	0.5	2
69	1	0	1.5	2
70	1	0	0.5	2
71	1	1	2.0	2
72	1	0	1.5	2
73	0	0	2.0	2
74	0	0	0.5	2
75	0	0	1.5	2
76	1	0	1.0	2
77	0	0	0.5	2
78	1	0	1.0	2
79	1	0	1.5	2
80	0	1	0.5	2
81	0	0	1.0	2
82	0	1	1.0	2
83	0	0	1.0	2
84	0	0	0.5	2
85	0	0	1.0	2
86	1	0	1.0	2
87	1	1	0.5	2
88	1	1	2.0	2
89	0	0	1.5	2
90	0	0	2.0	2
91	1	0	2.0	2
92	0	1	1.5	2
93	0	0	1.0	2
94	0	0	1.5	2
95	0	1	0.5	2
96	0	1	2.0	2
97	1	0	1.0	2
98	0	0	1.0	2
99	1	0	1.5	2
100	0	0	2.0	2
101	1	0	2.0	2
102	0	1	1.5	2
103	0	0	1.0	2
104	0	1	1.5	2
105	0	0	1.5	2
106	0	0	2.0	2
107	0	0	0.5	2
108	1	0	1.5	2
109	0	0	2.0	2
110	1	1	1.5	2
111	0	1	1.5	2
112	1	1	0.5	2
113	1	0	1.0	2
114	0	0	1.0	2
115	1	1	1.0	2
116	1	0	2.0	2
117	1	0	1.5	2
118	1	0	2.0	2
119	1	0	1.5	2
120	1	0	2.0	2
121	0	0	1.0	2
122	1	0	0.5	2
123	1	1	1.0	2
124	1	0	0.5	2
125	0	0	0.5	2
126	0	0	1.0	2
127	0	1	1.0	2
0	1	0	2.0	3
1	1	0	0.5	3
2	0	0	2.0	3
3	0	0	0.5	3
4	0	0	1.0	3
5	0	1	2.0	3
6	1	1	1.5	3
7	0	1	2.0	3
8	1	0	2.0	3
9	0	1	0.5	3
10	0	0	2.0	3
11	1	0	1.5	3
12	0	0	2.0	3
13	0	0	0.5	3
14	0	1	1.5	3
15	1	1	1.0	3
16	1	0	1.0	3
17	1	1	2.0	3
18	0	0	0.5	3
19	0	0	1.0	3
20	1	0	1.0	3
21	0	0	1.5	3
22	0	0	1.0	3
23	0	1	1.0	3
24	0	0	1.5	3
25	0	0	2.0	3
26	0	1	1.5	3
27	0	0	2.0	3
28	1	0	1.0	3
29	1	0	1.0	3
30	1	0	2.0	3
31	0	0	0.5	3
32	1	0	2.0	3
33	1	1	1.0	3
34	0	1	1.0	3
35	0	0	2.0	3
36	0	1	0.5	3
37	0	0	1.0	3
38	1	1	0.5	3
39	1	0	1.0	3
40	1	0	0.5	3
41	1	1	1.5	3
42	1	0	0.5	3
43	1	0	2.0	3
44	1	1	1.0	3
45	1	0	0.5	3
46	0	1	0.5	3
47	1	0	1.0	3
48	0	0	1.0	3
49	1	1	1.5	3
50	0	1	1.0	3
51	1	0	0.5	3
52	0	0	1.5	3
53	0	0	1.5	3
54	0	1	1.5	3
55	1	0	0.5	3
56	1	0	2.0	3
57	1	0	2.0	3
58	1	0	2.0	3
59	1	0	0.5	3
60	0	0	1.5	3
61	0	0	2.0	3
62	1	0	2.0	3
63	0	0	0.5	3
64	1	0	0.5	3
65	1	0	2.0	3
66	0	0	1.5	3
67	0	0	1.0	3
68	0	0	1.5	3
69	0	0	2.0	3
70	1	0	1.0	3
71	0	0	1.5	3
72	0	1	0.5	3
73	1	0	2.0	3
74	1	0	1.0	3
75	0	0	2.0	3
76	1	0	1.0	3
77	0	0	2.0	3
78	0	0	1.5	3
79	0	0	1.0	3
80	1	1	1.0	3
81	1	0	1.0	3
82	1	0	1.5	3
83	0	0	1.5	3
84	0	0	0.5	3
85	1	1	0.5	3
86	1	0	0.5	3
87	1	1	2.0	3
88	1	0	1.0	3
89	0	0	2.0	3
90	0	0	2.0	3
91	1	0	2.0	3
92	0	0	2.0	3
93	0	0	0.5	3
94	1	0	0.5	3
95	0	0	0.5	3
96	1	0	1.0	3
97	0	0	2.0	3
98	0	1	1.0	3
99	0	1	1.5	3
100	1	0	2.0	3
101	1	0	2.0	3
102	0	0	1.0	3
103	0	0	2.0	3
104	0	0	1.5	3
105	1	1	0.5	3
106	1	0	0.5	3
107	1	0	2.0	3
108	1	1	0.5	3
109	1	0	1.5	3
110	1	0	1.0	3
111	1	0	1.0	3
112	0	0	2.0	3
113	0	1	2.0	3
114	0	0	1.5	3
115	1	0	0.5	3
116	1	0	1.0	3
117	0	0	1.0	3
118	1	1	1.0	3
119	1	0	2.0	3
120	0	0	1.5	3
121	0	1	0.5	3
122	1	1	2.0	3
123	0	0	1.0	3
124	1	0	2.0	3
125	1	0	1.0	3
126	1	1	1.5	3
127	0	0	0.5	3
