	direction	jitter	stop_trial
0	1	1.5	0
1	1	0.75	0
2	1	1.5	0
3	1	2.25	1
4	0	0.75	0
5	1	2.25	1
6	1	3.0	0
7	0	1.5	0
8	0	2.25	1
9	1	0.75	0
10	1	0.75	0
11	0	1.5	1
12	0	2.25	1
13	0	0.75	1
14	0	3.0	1
15	0	2.25	0
16	1	0.75	0
17	0	3.0	0
18	0	1.5	1
19	1	2.25	0
20	1	3.0	0
21	0	3.0	0
22	1	3.0	0
23	0	3.0	0
24	0	3.0	0
25	0	1.5	0
26	0	1.5	0
27	0	2.25	0
28	0	1.5	0
29	0	3.0	0
30	1	3.0	0
31	0	3.0	0
32	0	3.0	0
33	0	3.0	1
34	0	3.0	0
35	1	2.25	0
36	0	3.0	0
37	1	2.25	0
38	1	0.75	0
39	0	2.25	0
40	0	2.25	0
41	1	0.75	0
42	0	0.75	0
43	1	0.75	0
44	1	2.25	1
45	0	1.5	0
46	1	3.0	0
47	0	0.75	0
48	1	2.25	0
49	1	0.75	0
50	1	0.75	1
51	1	2.25	0
52	1	0.75	0
53	1	2.25	0
54	1	0.75	0
55	1	3.0	1
56	0	3.0	0
57	1	2.25	0
58	1	1.5	0
59	0	0.75	0
60	0	2.25	0
61	0	0.75	1
62	0	3.0	0
63	0	2.25	0
64	1	3.0	1
65	1	0.75	0
66	1	3.0	0
67	0	1.5	0
68	1	0.75	1
69	0	3.0	0
70	1	1.5	1
71	0	2.25	0
72	0	3.0	0
73	1	1.5	1
74	1	1.5	0
75	1	1.5	1
76	1	2.25	1
77	1	3.0	0
78	0	1.5	0
79	1	1.5	0
80	0	2.25	0
81	0	2.25	0
82	0	0.75	1
83	0	0.75	1
84	0	1.5	0
85	0	0.75	1
86	1	0.75	0
87	0	3.0	1
88	0	3.0	0
89	0	1.5	1
90	0	0.75	0
91	0	1.5	0
92	1	2.25	0
93	1	1.5	0
94	1	1.5	0
95	0	1.5	0
96	1	3.0	1
97	1	2.25	1
98	0	3.0	0
99	1	0.75	0
100	1	1.5	0
101	1	3.0	0
102	0	2.25	0
103	1	0.75	0
104	0	3.0	1
105	1	0.75	0
106	1	0.75	0
107	0	2.25	0
108	1	2.25	0
109	1	0.75	1
