trial_ID	direction	stop_trial	jitter	block
0	1	1	2.25	1
1	1	0	0.75	1
2	1	0	1.5	1
3	0	0	2.25	1
4	0	0	3.0	1
5	1	0	2.25	1
6	0	0	2.25	1
7	0	0	1.5	1
8	0	0	2.25	1
9	1	0	1.5	1
10	1	1	0.75	1
11	0	1	0.75	1
12	0	1	1.5	1
13	0	1	0.75	1
14	1	0	3.0	1
15	1	0	1.5	1
16	0	0	2.25	1
17	1	0	2.25	1
18	0	0	3.0	1
19	1	0	0.75	1
20	1	0	0.75	1
21	1	0	2.25	1
22	0	0	1.5	1
23	0	0	2.25	1
24	0	1	3.0	1
25	1	0	2.25	1
26	1	0	0.75	1
27	1	0	3.0	1
28	0	0	1.5	1
29	1	0	0.75	1
30	1	0	3.0	1
31	0	0	0.75	1
32	1	0	1.5	1
33	0	0	2.25	1
34	0	0	0.75	1
35	0	0	2.25	1
36	1	1	0.75	1
37	1	0	1.5	1
38	0	0	3.0	1
39	0	1	3.0	1
40	0	0	0.75	1
41	1	0	0.75	1
42	1	0	2.25	1
43	1	1	3.0	1
44	1	1	0.75	1
45	0	1	1.5	1
46	1	0	1.5	1
47	0	0	0.75	1
48	1	0	3.0	1
49	1	1	2.25	1
50	1	0	0.75	1
51	1	0	1.5	1
52	1	1	2.25	1
53	0	1	1.5	1
54	0	0	3.0	1
55	0	1	0.75	1
56	1	0	2.25	1
57	0	0	1.5	1
58	0	0	3.0	1
59	0	0	1.5	1
60	0	0	0.75	1
61	1	0	2.25	1
62	0	0	3.0	1
63	0	0	3.0	1
64	0	1	3.0	1
65	0	0	2.25	1
66	1	0	3.0	1
67	1	0	0.75	1
68	0	0	1.5	1
69	1	0	3.0	1
70	1	0	1.5	1
71	0	1	0.75	1
72	0	0	1.5	1
73	1	0	0.75	1
74	1	0	0.75	1
75	1	1	2.25	1
76	1	0	2.25	1
77	0	0	3.0	1
78	0	0	2.25	1
79	1	1	1.5	1
80	0	0	2.25	1
81	0	0	3.0	1
82	1	1	2.25	1
83	0	0	0.75	1
84	0	0	2.25	1
85	0	0	3.0	1
86	0	0	3.0	1
87	1	0	1.5	1
88	0	0	3.0	1
89	1	0	2.25	1
90	1	0	0.75	1
91	1	0	1.5	1
92	1	0	0.75	1
93	1	1	1.5	1
94	1	0	1.5	1
95	1	0	0.75	1
96	0	1	0.75	1
97	0	0	3.0	1
98	1	0	0.75	1
99	1	1	2.25	1
100	0	0	3.0	1
101	1	0	0.75	1
102	0	0	0.75	1
103	0	1	0.75	1
104	0	1	1.5	1
105	1	1	2.25	1
106	1	0	2.25	1
107	1	0	0.75	1
108	0	0	1.5	1
109	0	1	0.75	1
110	0	0	2.25	1
111	0	0	0.75	1
112	1	1	0.75	1
113	0	1	1.5	1
0	1	0	1.5	2
1	1	0	1.5	2
2	0	0	2.0	2
3	1	0	0.5	2
4	1	1	2.0	2
5	1	0	1.0	2
6	0	0	1.0	2
7	1	0	1.0	2
8	0	1	1.5	2
9	0	0	1.5	2
10	1	0	0.5	2
11	1	0	0.5	2
12	0	0	1.5	2
13	1	0	1.0	2
14	0	0	1.5	2
15	0	0	0.5	2
16	1	1	1.0	2
17	1	0	2.0	2
18	0	0	0.5	2
19	1	1	2.0	2
20	1	1	0.5	2
21	0	0	1.0	2
22	0	0	1.5	2
23	1	0	1.0	2
24	0	0	1.0	2
25	0	0	1.5	2
26	1	0	2.0	2
27	0	1	1.0	2
28	0	0	2.0	2
29	1	0	1.0	2
30	1	0	2.0	2
31	0	0	1.0	2
32	1	1	2.0	2
33	1	0	1.5	2
34	0	0	1.5	2
35	1	0	0.5	2
36	0	0	0.5	2
37	0	1	2.0	2
38	1	1	2.0	2
39	0	1	0.5	2
40	0	0	2.0	2
41	1	0	0.5	2
42	1	1	0.5	2
43	0	0	1.5	2
44	0	0	1.5	2
45	1	0	0.5	2
46	0	0	0.5	2
47	0	0	1.5	2
48	0	1	2.0	2
49	1	0	2.0	2
50	1	0	2.0	2
51	1	0	0.5	2
52	1	0	0.5	2
53	1	0	2.0	2
54	0	0	2.0	2
55	1	1	1.0	2
56	1	0	1.0	2
57	0	0	2.0	2
58	1	0	1.5	2
59	1	0	0.5	2
60	0	0	0.5	2
61	1	0	2.0	2
62	1	0	0.5	2
63	0	0	1.0	2
64	1	0	2.0	2
65	1	0	0.5	2
66	1	0	1.5	2
67	1	0	0.5	2
68	1	1	0.5	2
69	0	0	1.5	2
70	0	0	1.5	2
71	0	0	1.5	2
72	1	1	2.0	2
73	1	0	0.5	2
74	1	0	1.5	2
75	0	0	1.0	2
76	0	0	2.0	2
77	0	1	2.0	2
78	0	0	2.0	2
79	0	0	2.0	2
80	0	1	1.0	2
81	0	0	0.5	2
82	1	1	2.0	2
83	1	0	2.0	2
84	0	0	1.0	2
85	1	1	0.5	2
86	0	0	0.5	2
87	0	0	2.0	2
88	1	0	1.5	2
89	1	0	1.5	2
90	1	0	1.5	2
91	0	1	1.5	2
92	0	0	1.5	2
93	1	0	1.0	2
