trial_ID	direction	stop_trial	jitter	block
0	1	0	1.0	1
1	0	0	1.0	1
2	1	0	0.5	1
3	0	0	1.5	1
4	0	1	0.5	1
5	1	0	1.0	1
6	1	0	1.0	1
7	1	0	1.0	1
8	1	0	2.0	1
9	1	1	1.5	1
10	0	0	1.0	1
11	0	1	0.5	1
12	0	0	1.5	1
13	0	0	1.0	1
14	1	0	1.0	1
15	0	1	1.5	1
16	0	0	0.5	1
17	1	0	0.5	1
18	1	0	0.5	1
19	0	0	0.5	1
20	0	1	2.0	1
21	0	0	0.5	1
22	1	0	1.5	1
23	0	0	2.0	1
24	1	0	1.0	1
25	0	0	2.0	1
26	1	0	2.0	1
27	0	0	1.0	1
28	0	0	1.0	1
29	0	0	1.5	1
30	1	0	0.5	1
31	0	0	2.0	1
32	1	1	0.5	1
33	1	0	2.0	1
34	1	0	2.0	1
35	0	0	0.5	1
36	1	0	1.5	1
37	0	0	0.5	1
38	0	0	0.5	1
39	1	0	2.0	1
40	0	0	0.5	1
41	0	0	1.0	1
42	1	0	1.0	1
43	1	0	2.0	1
44	0	0	0.5	1
45	1	0	2.0	1
46	0	0	0.5	1
47	1	0	0.5	1
48	1	1	1.5	1
49	1	1	1.5	1
50	1	1	1.0	1
51	1	0	1.5	1
52	1	0	0.5	1
53	0	0	2.0	1
54	0	0	2.0	1
55	1	0	0.5	1
56	1	0	1.5	1
57	0	1	2.0	1
58	1	0	1.5	1
59	0	0	1.0	1
60	1	0	0.5	1
61	1	0	1.0	1
62	1	1	2.0	1
63	1	0	0.5	1
64	0	0	1.0	1
65	1	0	0.5	1
66	1	0	1.5	1
67	1	1	2.0	1
68	0	0	1.5	1
69	0	0	0.5	1
70	1	0	2.0	1
71	1	1	1.5	1
72	0	1	0.5	1
73	1	1	0.5	1
74	1	0	1.5	1
